X,Y,Area
131,121,3.5
283,121,5.5
197,122,15.0
1147,119,7.5
465,117,0.5
150,120,9.0
43,117,6.5
127,115,0.5
1158,135,370.0
438,114,1.0
214,116,7.5
175,161,1183.0
32,115,2.5
1134,116,51.5
228,117,13.5
137,115,7.0
65,126,122.5
251,136,953.5
418,113,18.5
463,110,1.0
381,110,11.0
472,107,2.5
324,106,0.5
24,109,10.5
1163,111,68.0
1142,108,41.5
337,104,0.5
194,104,1.0
134,105,5.0
446,105,12.0
431,118,159.0
155,103,10.5
8,104,15.5
1156,102,24.0
331,102,26.5
143,100,9.5
101,111,335.5
293,98,8.5
98,97,0.5
373,98,5.5
76,101,32.5
431,99,10.0
290,95,0.5
233,95,7.0
195,94,9.5
394,92,6.0
136,92,12.0
111,92,14.5
77,91,4.5
1164,92,19.5
125,89,3.0
322,89,2.5
222,99,92.0
20,93,24.5
250,98,106.5
1276,96,66.0
392,86,0.5
380,91,28.5
119,87,4.5
205,97,128.0
239,87,17.5
62,88,6.0
408,91,30.0
72,82,4.5
249,84,13.0
231,82,5.5
149,85,6.5
401,80,6.5
257,79,5.0
243,79,8.5
238,79,6.5
126,80,16.0
31,79,3.0
1231,78,45.5
175,103,302.0
454,80,12.0
108,80,29.0
317,80,51.0
299,74,2.0
272,74,9.5
248,75,17.0
370,73,36.0
169,86,100.5
1229,70,7.0
1238,69,4.0
468,70,11.5
423,68,1.5
39,71,30.0
391,67,0.5
371,65,2.5
279,65,4.0
203,70,60.5
192,65,9.0
95,67,21.5
307,66,15.5
113,67,31.5
405,68,84.5
53,68,37.0
1223,63,42.0
469,63,31.5
294,61,10.0
98,60,1.5
1180,60,15.5
68,65,49.0
1214,58,24.0
106,58,5.0
239,58,4.5
1205,55,16.5
468,94,707.5
1236,55,25.5
1186,54,6.0
275,56,13.5
168,59,26.0
151,66,156.0
257,53,3.0
117,52,1.0
178,58,52.0
1217,48,2.5
282,50,6.5
249,58,114.0
13,54,121.5
1224,47,14.0
108,45,0.5
1240,45,16.5
1206,45,37.5
306,46,25.0
252,44,13.0
151,47,73.5
344,62,706.0
216,42,6.0
1219,40,9.0
96,41,10.0
1227,39,5.5
472,50,135.5
104,39,6.5
1251,39,24.0
484,38,10.0
312,38,8.5
1102,35,5.0
267,55,70.0
1236,33,2.5
343,33,2.5
35,36,40.0
210,31,1.5
497,29,1.5
374,31,17.5
486,28,13.5
432,24,0.5
1089,27,41.5
345,24,8.0
202,27,7.5
187,43,385.5
1112,22,3.0
1103,23,6.5
492,23,1.0
211,24,5.5
31,24,11.0
907,21,1.0
108,25,33.0
1204,19,12.5
490,18,9.5
408,24,58.5
383,19,10.5
354,17,0.5
335,27,60.0
1110,16,0.5
317,26,61.0
12,21,47.5
1187,16,10.0
435,18,23.0
389,14,3.0
1117,14,20.5
405,12,2.0
371,18,62.5
340,16,26.5
106,15,11.5
81,42,357.0
420,13,7.0
212,11,7.0
194,17,57.0
75,19,25.0
1244,9,1.0
1137,11,27.0
383,39,621.5
381,10,12.5
288,27,565.5
1223,18,249.5
1102,9,22.0
1077,11,27.5
49,7,1.5
